City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,12.21,67,48,12.35,NZ,1675829655
1,perth,-31.9333,115.8333,31.12,42,0,3.6,AU,1675829700
2,port alfred,-33.5906,26.891,20.1,90,100,1.79,ZA,1675829600
3,vaini,-21.2,-175.2,25.09,100,75,2.57,TO,1675829589
4,butaritari,3.0707,172.7902,27.41,80,100,9.67,KI,1675829578
5,shahreza,32.0339,51.8794,3.08,49,0,5.49,IR,1675829679
6,vila velha,-20.3297,-40.2925,25.53,89,40,0.0,BR,1675829918
7,iskateley,67.6803,53.1512,0.58,83,88,10.31,RU,1675829698
8,arua,3.0201,30.9111,18.85,29,9,1.18,UG,1675829973
9,omboue,-1.5746,9.2618,24.98,89,100,2.08,GA,1675830148
10,palu,-0.8917,119.8707,24.81,93,100,0.33,ID,1675830149
11,baijiantan,45.6333,85.1833,-9.1,91,81,0.68,CN,1675830150
12,arlit,18.7369,7.3853,20.47,17,100,1.7,NE,1675830150
13,mataura,-46.1927,168.8643,14.21,52,57,5.35,NZ,1675829725
14,punta arenas,-53.15,-70.9167,13.06,71,0,6.69,CL,1675829607
15,maniitsoq,65.4167,-52.9,-17.29,92,100,4.96,GL,1675829853
16,narsaq,60.9167,-46.05,-20.88,66,16,4.1,GL,1675829799
17,norman wells,65.282,-126.8329,-19.95,97,94,0.67,CA,1675829517
18,albany,42.6001,-73.9662,2.93,79,81,0.45,US,1675829624
19,yellowknife,62.456,-114.3525,-19.69,83,100,2.68,CA,1675829753
20,elko,41.0002,-115.5012,-3.76,84,100,4.02,US,1675829727
21,port elizabeth,-33.918,25.5701,19.62,92,100,1.79,ZA,1675829515
22,ushuaia,-54.8,-68.3,8.79,91,99,3.44,AR,1675829577
23,loandjili,-4.7561,11.8578,25.38,88,85,2.09,CG,1675829976
24,tuktoyaktuk,69.4541,-133.0374,-28.88,95,100,1.95,CA,1675829730
25,iralaya,15.0,-83.2333,25.06,81,54,5.7,HN,1675829976
26,barrow,71.2906,-156.7887,-18.99,78,100,3.09,US,1675829774
